moduleTitle;packLabel;sourceDocument;name;type;cost;quantity;reference;state;img;uuid;path;occurrences;modules
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Boots;equipment;1 shilling;1;;other;icons/equipment/feet/boots-simple-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.6NnVfd3oL0TGe4W4;items.354;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bottle of Blot (mulled wine);equipment;3 thaler;1;;other;icons/containers/kitchenware/jug-clay-brown-sealed.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.rZDUtztcLytrrKBj;items.188;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bottle of Ludendrink (mulled wine);equipment;2 thaler;1;;other;icons/consumables/drinks/alcohol-spirits-bottle-green.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.omMiSehsQfP3CkSc;items.189;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bottle of of Vearra’s Red (simple wine);equipment;2 thaler;1;;other;icons/consumables/drinks/water-jug-clay-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.8UNO0bUA8x1w7yfr;items.190;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bottle of Red Wine (unspecified);equipment;1 thaler;1;;other;icons/consumables/drinks/tea-jug-gourd-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.JIuFlKjPRqUpzP4z;items.191;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bottle of Southern Slopes (from Alberetor);equipment;15 thaler;1;;other;icons/consumables/drinks/wine-amphora-clay-gray.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.91BVnTZr5NB7LoXy;items.192;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bottle of White Wine (unspecified);equipment;1 thaler;1;;other;icons/consumables/drinks/alcohol-spirits-bottle-green.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.UHwFtS7l3oyS5FBX;items.193;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Brass bell;equipment;6 shillings;1;;other;icons/tools/instruments/bell-brass-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.XOtgrwFUnM8oItmZ;items.355;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Brass Horn;equipment;1 thaler;1;;other;icons/tools/instruments/horn-red-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.9iZXN1z4gBeR3xF7;items.133;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Break Link - Ritual Book;equipment;;1;;other;icons/sundries/books/book-reye-reptile-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.dzLzIinHcHiwW6NQ;actors.0.items.9;1;Symbaroum Adventure Collection
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Buckler;equipment;;1;;other;icons/equipment/shield/buckler-wooden-round-hole.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.gEQkYFlOOGIy7hkZ;items.618;1;Symbaroum Core Rulebook
Symbaroum Game Master's Guide;Symbaroum Game Master's Guide;Symbaroum Game Masters Guide;Bunefer's Death Mask;equipment;;1;;other;modules/symbaroum-gmg/images/avatar/generic2.webp;Compendium.symbaroum-gmg.symbaroum-gmg.171e1TCiFYexIE2O;items.22;1;Symbaroum Game Master's Guide
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Burgher’s garb;equipment;1 thaler;1;;other;icons/equipment/chest/vest-leather-pink.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.3YOsnoyEjocnSYQA;items.356;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Burial Shroud;equipment;10 thaler;1;;other;icons/equipment/head/hood-simple-leather-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.JRLGgeprigmu3UTa;items.34;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Buttered Walleye with Mash;equipment;22 shillings;1;;other;icons/consumables/food/bowl-ribs-meat-rice-mash-brown-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.4WtamCX1Lj7tR8Ln;items.194;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Cabbage Pie;equipment;1 shilling;1;;other;icons/consumables/food/plate-fish-bowl-bones-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.kxew6THRLLyD0enW;items.195;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Cabbage Stew;equipment;3 ortegs;1;;other;icons/consumables/food/bowl-salad-green.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.DQRSroDPBdm5Fshk;items.196;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Can of Vesa;equipment;4 ortegs;1;;other;icons/containers/kitchenware/vase-clay-painted-brown-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.cTTLahVle3FDrdvp;items.197;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Candied Ginger;equipment;1 shillings;1;;other;icons/consumables/food/preserves-jam-jelly-jar-brown-red.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.zMV85eP0zeVbF2fz;items.198;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Cap;equipment;2–4 ortegs;1;;other;icons/equipment/head/cap-simple-leather-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.Xl1wZXPo93neyYzp;items.357;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;"Cardamom, one box";equipment;;1;;other;icons/consumables/nuts/pistachios-nute-shell-green-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.xQqiqu2v5GWdSwvK;items.134;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Cartographer’s Instruments;equipment;10 thaler;1;;other;icons/tools/navigation/map-chart-tan.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.VwwVUwabOwIdGijK;items.135;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Chain;equipment;1 thaler;1;;other;icons/commodities/metal/chain-steel.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.2g7n9eK2R4R7byMa;items.358;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Cheating Kit;equipment;10 thaler;1;;other;icons/sundries/gaming/playing-cards-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.nhbceDcXHbWMe0o6;items.136;1;Symbaroum Core Rulebook
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Chewable resin;equipment;;1;;other;icons/commodities/materials/bowl-liquid-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.RqYxBsBU7t8xBQro;actors.18.items.1;2;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;"Chewing Tobacco, one box";equipment;6 ortegs;1;;other;icons/consumables/plants/dried-herbs-leaves-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.ZmjiP1fqzPB4pOVb;items.137;1;Symbaroum Core Rulebook
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Choking Spores;equipment;2 thaler;1;;other;icons/magic/nature/plant-undersea-seaweed-glow-green.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.jdAOyUr3BBHc8wj6;actors.38.items.9;3;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;"Cinnamon, one box";equipment;1 thaler;1;;other;icons/containers/boxes/box-gift-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.9r932BjZ7sCFH9YY;items.138;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Clay Pipe;equipment;3 shillings;1;;other;icons/sundries/misc/pipe-wooden-straight-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.ipMza4B28v74dkV1;items.139;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Clay pitcher;equipment;5 ortegs;1;;other;icons/containers/kitchenware/jug-terracotta-orange.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.woXZ51lObYpPxEtR;items.359;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Climbing equipment;equipment;1 thaler;1;;other;icons/sundries/survival/rope-wrapped-loops-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.sHMVwq4xPbw4SHXm;items.360;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Climbing Gear;equipment;10 thaler;1;;other;icons/sundries/survival/rope-wrapped-loops-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.0pm9O9GmhyDhaDIu;items.140;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Cloak;equipment;2–6 ortegs;1;;active;icons/equipment/back/cloak-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.KFPDkruPnfY6dTOr;actors.28.items.3;4;"Symbaroum Adventure Collection, Symbaroum Core Rulebook"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Cloak;equipment;2–6 ortegs;1;;other;icons/equipment/back/cloak-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.WDjzr5BsCommW6pW;items.361;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;"Clove, one box";equipment;7 ortegs;1;;other;icons/containers/boxes/box-gift-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.YP25qn5UCU20JrYR;items.141;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Coat;equipment;5–10 ortegs;1;;other;icons/equipment/chest/coat-leather-blue.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.FFngsYBfAEy5BrFi;items.362;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Coin purse;equipment;3 ortegs;1;;other;icons/containers/bags/coinpouch-leather-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.GtjZI8Lvnmg3c7xP;items.363;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Concentrated Magic;equipment;1 thaler;1;;other;icons/tools/laboratory/bowl-liquid-orange.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.ICKFdCo9OWc5fEr1;actors.15.items.9;4;"Symbaroum Adventure Collection, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Cooking pan;equipment;1 orteg;1;;other;icons/tools/cooking/pot-camping-iron-black.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.Ot85bJGAzsoonBzX;items.364;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;"Copper, one bar";equipment;5 shillings;1;;other;icons/commodities/metal/ingot-stamped-bronze.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.LeDGTcpoQlGvjpOv;items.142;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;"Cotton Fabric, one roll";equipment;1 thaler;1;;other;icons/commodities/cloth/cloth-roll-blue.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.4r6gCt4Vo01L11aP;items.143;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Crayons;equipment;1 orteg;1;;other;icons/tools/scribal/pen-stylus-pencil.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.r99hsnHk2RWKrcYw;items.365;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;"Crude alchemical equipment,";equipment;;1;;other;icons/tools/laboratory/vials-blue-pink.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.bE6ilR5lh4PocCHx;actors.18.items.10;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;"Cumin, one box";equipment;5 ortegs;1;;other;icons/containers/boxes/box-gift-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.bNY1zhVCRMfN7LnR;items.144;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Death Mask;equipment;10 thaler;1;;other;icons/magic/control/fear-fright-mask-yellow.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.TduUp0xpHKB5ZtUs;items.35;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Decorated box;equipment;2–5 thaler;1;;other;icons/containers/chest/chest-reinforced-stone.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.wFdhhV0RKUrTq77a;items.366;1;Symbaroum Core Rulebook
Symbaroum Game Master's Guide;Symbaroum Game Master's Guide;Symbaroum Game Masters Guide;Desdemorgos Icosahedron;equipment;;1;;other;icons/dice/d20black.svg;Compendium.symbaroum-gmg.symbaroum-gmg.rfcdsbZcPVVt19lO;items.23;1;Symbaroum Game Master's Guide
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Dice Set;equipment;1 shilling;1;;other;icons/sundries/gaming/dice-runed-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.r0L3Z3PL8gmvlFa6;actors.58.items.4;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Dice Set;equipment;1 orteg;1;;other;icons/sundries/gaming/dice-runed-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.m32mGRwZSzYaCXAA;actors.64.items.11;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Disguise Kit;equipment;10 thaler;1;;other;icons/containers/bags/pouch-leather-silver-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.HIjX5bmjEUtTMMTE;actors.41.items.18;2;"Symbaroum Adventure Collection, Symbaroum Core Rulebook"
Symbaroum Game Master's Guide;Symbaroum Game Master's Guide;Symbaroum Game Masters Guide;Dream Snuff;equipment;;6;;other;icons/commodities/materials/powder-grey.webp;Compendium.symbaroum-gmg.symbaroum-gmg.6q1vURuQoJEw0JV9;actors.0.items.9;3;Symbaroum Game Master's Guide
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Dress;equipment;1–10 shillings;1;;other;icons/equipment/chest/robe-layered-teal.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.CRTEVGBmZYkntKVT;items.367;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Drinking horn;equipment;2 ortegs;1;;other;icons/commodities/bones/horn-drinking-white.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.AgUiqfl0xvdoxpd9;items.368;1;Symbaroum Core Rulebook
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Drone Dew;equipment;4 thaler;1;;other;icons/consumables/potions/potion-tube-corked-bat-gold-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.iGKtbTcBho8S1DYB;items.12;3;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Drone Spores;equipment;5 thaler;1;;other;icons/consumables/potions/potion-tube-corked-bat-gold-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.zScXDj5B1C0HCaKf;items.0;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Drum;equipment;3 shillings;1;;other;icons/tools/instruments/drum-hand-tan.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.VH5qW2oRB7Z2DPLk;items.369;1;Symbaroum Core Rulebook
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Eamon's Bell;equipment;;1;;other;icons/tools/instruments/bell-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.sL5XH1SWTnQtskHJ;items.2;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Elemental Essence;equipment;2 thaler;1;;other;icons/consumables/potions/bottle-round-corked-orante-red.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.q2QkshZTXVAeit9t;items.318;2;"Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Elemental Essence (Acid);equipment;2 thaler;3;;other;icons/consumables/potions/bottle-round-corked-orante-red.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.OI2AP6VLsN4tUVsU;actors.23.items.8;1;Symbaroum Adventure Collection
Symbaroum Game Master's Guide;Symbaroum Game Master's Guide;Symbaroum Game Masters Guide;Eli's Troll Flute;equipment;;1;;other;modules/symbaroum-gmg/images/journal/trollflute.webp;Compendium.symbaroum-gmg.symbaroum-gmg.5al0dgrJXdxD6yMW;items.24;1;Symbaroum Game Master's Guide
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Elixir of Life;equipment;6 thaler;2;;other;icons/consumables/potions/potion-tube-corked-glowing-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.ZNZ7pSB3dLbAaWHd;actors.13.items.21;5;"Symbaroum - Thistle Hold - Wrath of the Warden, Symbaroum Adventure Collection, Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Excavation Tools;equipment;10 thaler;1;;other;icons/tools/hand/shovel-spade-steel-grey.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.5BjMrC9yGVujgGjU;items.146;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Eye Drops;equipment;2 thaler;1;;other;icons/consumables/potions/bottle-circular-corked-labeled-green.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.Pd543wVzvwAqKjvG;items.320;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Feather Veil;equipment;;1;;other;icons/equipment/back/cloak-fur-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.3a2alVTZecwyAkMn;actors.64.items.20;1;Symbaroum Adventure Collection
Symbaroum Game Master's Guide;Symbaroum Game Master's Guide;Symbaroum Game Masters Guide;Feud Crystal;equipment;;1;;other;icons/commodities/gems/pearl-storm.webp;Compendium.symbaroum-gmg.symbaroum-gmg.MDzdRjABABkIm86s;items.25;1;Symbaroum Game Master's Guide
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fiddle;equipment;3 thaler;1;;other;icons/tools/instruments/harp-red.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.lqTKwIp9tppOWl0v;items.147;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Field equipment;equipment;5 shillings;1;;other;icons/containers/bags/pack-canvas-white-brown.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.NRlR2ZemTqhYHtgg;actors.23.items.11;12;"Symbaroum Adventure Collection, Symbaroum Core Rulebook"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Field Laboratory;equipment;10 thaler;1;;other;icons/tools/laboratory/vials-blue-pink.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.k4PpTJc0QIMiSjcA;items.148;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Field Library;equipment;10 thaler;1;;other;icons/sundries/books/book-stack.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.t0O09fPc9x1MrEYX;items.149;3;"Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Field Smithy;equipment;10 thaler;1;;other;icons/skills/trades/smithing-tongs-metal-red.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.pkAuqCOCrTUkP9WB;items.150;5;"Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Field Surgeon’s Instrument Kit;equipment;10 thaler;1;;other;icons/containers/bags/pack-leather-red.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.zXZXi2yTExZhChcO;items.151;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Fire Dye;equipment;;1;;other;icons/consumables/potions/bottle-bulb-corked-glowing-red.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.2Jb93JRFIeGYgiKM;items.0;1;Symbaroum Adventure Collection
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fire Dye;equipment;1 thaler;1;;other;icons/tools/laboratory/bowl-powder-purple.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.lQbYxzGToeTiVcSZ;items.2;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Firetube Charges;equipment;;3;;other;icons/skills/ranged/projectile-explosion-black-orange.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.spooH2wVGHyoqkb3;actors.31.items.15;2;Symbaroum Monster Codex
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Firewood;equipment;2 ortegs;1;;other;icons/commodities/wood/kindling-sticks-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.oVTWWx1RVMBi8SA9;items.371;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fish & Turnips;equipment;1 shilling;1;;other;icons/consumables/food/plate-fish-bowl-bones-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.Vo1okTqqmMDfO9bc;items.199;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fish Pie;equipment;5 shillings;1;;other;icons/consumables/food/plate-fish-bowl-bones-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.AmKO0vJXN2x8LcCS;items.200;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fish Sauce & Crispbread;equipment;5 ortegs;1;;other;icons/consumables/food/plate-fish-bowl-bones-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.qwlLA7XJRtLPlB81;items.201;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fishing line and hook;equipment;3 ortegs;1;;other;icons/tools/fishing/rod-brown-gold.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.Gfgl2LsDWyw1JCSZ;actors.16.items.6;3;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fishing net;equipment;1 shilling;1;;other;icons/tools/fishing/net-simple-tan.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.VQwjt2YTGzPLqR4M;items.373;1;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Flagellant whip;equipment;;1;;other;icons/weapons/misc/whip-red-yellow.webp;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.3ljNpyijw4LwfvJk;actors.60.items.10;1;Symbaroum Adventure Collection
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Flash Powder;equipment;1 thaler;1;;other;icons/magic/fire/blast-jet-stream-embers-orange.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.XM6czmSaRpzELcc9;items.3;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Flint and steel;equipment;2 ortegs;1;;other;icons/commodities/stone/geode-raw-tan.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.F8F8WMMFxm5WNtt2;items.374;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Flute;equipment;3 shillings;1;;other;icons/tools/instruments/pipe-flue-tan.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.Rf76GWu2eOu8ZMXZ;actors.8.items.11;2;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Flute;equipment;2 shillings;1;;other;icons/tools/instruments/flute-simple-wood.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.JWANLD94LxzV8J9D;items.375;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Forgery Kit;equipment;10 thaler;1;;other;icons/tools/scribal/ink-quill-pink.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.3uDmcPBC1N1hqcCz;items.152;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fried Pastry;equipment;2 ortegs;1;;other;icons/consumables/food/berries-ration-round-red.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.FT5QIdCw5vI8FtwM;items.202;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Fruit Pie;equipment;1 thaler;1;;other;icons/consumables/food/berries-cream-bowl-mint-red.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.J1XAlWkx8iRzHIeV;items.203;1;Symbaroum Core Rulebook
